"state","year","pct_D","pct_R","pct_I","win_D","win_R","win_I"
"MO",1956,52.0659,47.9341,0,1,0,NA
"MO",1960,58.0289,41.9711,0,1,0,NA
"MO",1964,62.0614,37.9386,0,1,0,NA
"MO",1968,60.7089,39.2911,0,1,0,NA
"MO",1972,44.6352,55.1782,0.18658,0,1,0
"MO",1976,50.2291,49.5529,0.217997,1,0,0
"MO",1980,47.0245,52.631,0.344488,0,1,0
"MO",1984,43.3402,56.6598,0,0,1,NA
"MO",1988,34.753,64.2178,1.02914,0,1,0
"MO",1992,58.6786,41.3214,0,1,0,NA
"MO",1996,56.6382,40.9835,2.37836,1,0,0
"MO",2000,49.3566,48.4384,1.47421,1,0,0
"MO",2004,47.8553,50.8329,0.896402,0,1,0
"MO",2008,58.3998,39.4877,1.10676,1,0,0
"MO",2012,54.7709,42.5344,2.69478,1,0,0
"MS",1951,100,0,0,1,0,NA
"MS",1955,100,0,0,1,0,NA
"MS",1959,100,0,0,1,0,NA
"MS",1963,61.9281,38.0719,0,1,0,NA
"MS",1967,70.2741,29.7259,0,1,0,NA
"MS",1975,52.1743,45.1669,2.65878,1,0,0
"MS",1979,59.4149,37.8798,2.70529,1,0,0
"MS",1983,55.0947,38.8784,4.11895,1,0,0
"MS",1987,53.4421,46.5579,0,1,0,NA
"MS",1991,48.3523,51.6477,0,0,1,NA
"MS",1995,44.4445,55.5555,0,0,1,NA
"MS",1999,50.4505,49.5495,0,1,0,NA
"MS",2003,45.8125,52.5892,0.706215,0,1,0
"MS",2007,42.1016,57.8984,0,0,1,NA
"MS",2011,39.0184,60.9816,0,0,1,NA
"MT",1948,55.7341,43.86,0.405895,1,0,0
"MT",1952,49.042,50.958,0,0,1,NA
"MT",1956,48.6333,51.3667,0,0,1,NA
"MT",1960,44.8944,55.1056,0,0,1,NA
"MT",1964,48.7097,51.2903,0,0,1,NA
"MT",1968,54.1081,41.8651,4.02679,1,0,0
"MT",1972,54.1242,45.8758,0,1,0,NA
"MT",1976,61.7012,36.5774,1.72139,1,0,0
"MT",1980,55.3656,44.6344,0,1,0,NA
"MT",1984,70.3428,26.4058,3.25144,1,0,0
"MT",1988,46.1317,51.9327,1.93558,0,1,0
"MT",1992,48.6538,51.3462,0,0,1,NA
"MT",1996,19.2506,80.7494,0,0,1,NA
"MT",2000,47.0831,50.9847,1.93227,0,1,0
"MT",2004,50.4283,46.0301,1.87956,1,0,0
"MT",2008,65.4711,32.5163,2.0126,1,0,0
